approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.002371886,0.16748047,5524.875,8610.0,0.02022784948348999,228,104,3.8870552,-0.010431664,13312,238.87263101874677,53248,0.040130258
0.0013758724,0.047851562,5524.875,8610.0,0.025609731674194336,228,105,4.001893,-0.0058584064,13440,241.11202527136828,53760,0.028442426
0.0026725372,0.18066406,5524.875,8610.0,-0.010841012001037598,227,106,3.9182189,-0.008746978,13568,243.36650125923825,54272,0.08922441
0.0033771845,0.2290039,5168.666666666667,9855.555555555555,-0.1217724084854126,230,107,4.1069083,-0.007687275,13696,245.58972166853607,54784,0.004395469
0.0013369292,0.076660156,4968.1,11114.0,0.013219475746154785,227,108,4.0195904,-0.0067988085,13824,247.83932811293053,55296,0.03891817
0.0029007767,0.17578125,4968.1,11114.0,0.03213590383529663,229,109,3.9759855,-0.00987903,13952,250.07114402808176,55808,0.020375263
0.0023438106,0.12109375,4968.1,11114.0,0.02107781171798706,227,110,4.0046697,-0.00848717,14080,252.32136591382422,56320,0.1530547
0.0028704817,0.1484375,4968.1,11114.0,0.015047550201416016,228,111,3.9487636,-0.008350816,14208,254.56356408426208,56832,0.03505943
0.0031252417,0.23388672,4968.1,11114.0,0.03092515468597412,226,112,3.7660542,-0.009499011,14336,256.82143317097564,57344,0.03518073
0.0021987837,0.1303711,4968.1,11114.0,0.03462320566177368,216,113,3.8862886,-0.008032195,14464,259.1841129249667,57856,0.009975169
0.0020591165,0.14257812,4697.333333333333,10667.5,0.013667583465576172,221,114,3.7808475,-0.007359115,14592,261.49362160553926,58368,0.12790519
0.0015930387,0.083496094,4697.333333333333,10667.5,0.04095989465713501,219,115,3.7300382,-0.008275345,14720,263.832195502501,58880,0.21187648
0.0021388342,0.1616211,4421.461538461538,10200.76923076923,0.02585136890411377,226,116,3.5635068,-0.0066145444,14848,266.08861650014177,59392,0.101311214
0.0024171728,0.12158203,4421.461538461538,10200.76923076923,0.07453364133834839,227,117,3.7957234,-0.0052138474,14976,268.3370591094678,59904,0.026441976
0.002074223,0.16699219,4421.461538461538,10200.76923076923,0.02942967414855957,226,118,3.649038,-0.008681823,15104,270.60024912384114,60416,0.124880366
0.001893876,0.07128906,4421.461538461538,10200.76923076923,0.06326830387115479,230,119,3.5713625,-0.0075140735,15232,272.8270476415299,60928,0.0043716356
0.0031473208,0.24267578,4421.461538461538,10200.76923076923,0.011305570602416992,228,120,3.538836,-0.008146271,15360,275.07151313923976,61440,0.041334365
0.001669473,0.095703125,4232.714285714285,9859.285714285714,0.0443415641784668,223,121,3.6177855,-0.0058872662,15488,277.3641480271934,61952,0.025411282
0.0028438028,0.21386719,4232.714285714285,9859.285714285714,0.04572618007659912,225,122,3.436432,-0.011027455,15616,279.64024275431655,62464,0.07936183
0.0014564923,0.08105469,4030.3333333333335,9668.666666666666,0.03667646646499634,223,123,3.417049,-0.006476647,15744,281.93570125532716,62976,0.30905342
0.0025987022,0.109375,3860.5,9526.875,0.04280585050582886,221,124,3.451821,-0.003068942,15872,284.24469660250116,63488,0.07703803
0.0031055517,0.14746094,3860.5,9526.875,0.03206843137741089,226,125,3.2270496,-0.005016559,16000,286.5067324199025,64000,0.2986845
0.00216592,0.12792969,3860.5,9526.875,0.11000722646713257,222,126,3.4071872,-0.0043344675,16128,288.8058969785266,64512,0.0741476
0.0014882786,0.078125,3860.5,9526.875,0.07927674055099487,229,127,3.3291607,-0.005799367,16256,291.04009895112364,65024,0.07827774
0.0021090265,0.09033203,3724.705882352941,9225.882352941177,0.003321707248687744,222,128,3.1050758,-0.00690927,16384,293.3408547036006,65536,0.027442448
0.00067571586,0.022949219,3724.705882352941,9225.882352941177,0.03222966194152832,211,129,3.1525593,-0.0030539571,16512,295.75864872490774,66048,0.17575681
0.001660971,0.09765625,3724.705882352941,9225.882352941177,0.09658712148666382,220,130,3.2435706,-0.003551856,16640,298.081218702377,66560,0.045191113
0.0017707057,0.107910156,3724.705882352941,9225.882352941177,0.030558288097381592,223,131,3.2734656,-0.005095999,16768,300.3751887460557,67072,0.12647544
0.0010798943,0.047851562,3724.705882352941,9225.882352941177,-0.05442929267883301,215,132,3.2276108,-0.0061734198,16896,302.7491449332247,67584,0.039821483
0.0014782819,0.099121094,3724.705882352941,9225.882352941177,0.03762006759643555,224,133,3.2787662,-0.0049242843,17024,305.03462653773033,68096,0.017754724
0.00072482915,0.025878906,3724.705882352941,9225.882352941177,0.09677958488464355,220,134,3.2998803,-0.004652301,17152,307.3553163879767,68608,0.014486918
0.0007633498,0.038085938,3724.705882352941,9225.882352941177,0.11852681636810303,213,135,3.2399087,-0.0034526773,17280,309.74978244441684,69120,0.025671009
0.0010543169,0.057617188,3724.705882352941,9225.882352941177,0.000812232494354248,216,136,3.1506188,-0.0071293013,17408,312.11219791900925,69632,0.026420908
0.0023401086,0.1640625,3724.705882352941,9225.882352941177,0.12126415967941284,211,137,3.2097409,-0.0058738785,17536,314.535034410798,70144,0.014367147
0.0009119702,0.036621094,3724.705882352941,9225.882352941177,-0.01536870002746582,225,138,3.2812247,-0.0019626413,17664,316.8047185466309,70656,5.82749
0.00030200864,0.0063476562,3724.705882352941,9225.882352941177,-0.02045571804046631,218,139,3.3328288,-0.0025635576,17792,319.14494670412023,71168,6.448239
0.00084655255,0.030761719,3656.0,10326.666666666666,-0.1843421459197998,178,140,3.3347313,-0.005479608,17920,322.01761571652264,71680,0.026474932
0.0021338272,0.11816406,3656.0,10326.666666666666,-0.005146622657775879,176,141,3.279441,-0.0073091025,18048,324.92698471453775,72192,0.043977667
0.00046280806,0.01953125,3656.0,10326.666666666666,-0.02750718593597412,141,142,3.2901692,-0.0033188981,18176,328.53590896329,72704,1.8938094
0.0012301407,0.05517578,3597.7894736842104,10036.842105263158,-0.016805648803710938,158,143,3.2067323,-0.003747416,18304,331.7662851703219,73216,2.3739192
0.0015035279,0.11816406,3597.7894736842104,10036.842105263158,-0.017270445823669434,158,144,2.986351,-0.0050899372,18432,334.9955233835585,73728,0.12915629
0.0030233883,0.18066406,3597.7894736842104,10036.842105263158,0.19114363193511963,181,145,3.2176547,-0.003577816,18560,337.8146302812229,74240,0.008022757
0.0011509745,0.06982422,3531.85,10480.5,-0.056154727935791016,194,146,3.0775318,-0.0058786697,18688,340.4535088258424,74752,0.06332924
0.0013860068,0.06298828,3499.5238095238096,11389.52380952381,0.004335343837738037,197,147,3.0992472,-0.0029744226,18816,343.0498405523607,75264,0.09845661
0.0009579065,0.044433594,3499.5238095238096,11389.52380952381,0.05342698097229004,199,148,3.19829,-0.0026268444,18944,345.6155039956195,75776,0.010755191
0.0010378622,0.033203125,3499.5238095238096,11389.52380952381,0.016791820526123047,203,149,3.1345499,-0.0046534687,19072,348.1283869877317,76288,0.1120878
0.0011969311,0.057617188,3499.5238095238096,11389.52380952381,-0.00993657112121582,210,150,3.062441,-0.0031912164,19200,350.561476668124,76800,0.027193107
0.0018013122,0.12890625,3499.5238095238096,11389.52380952381,0.019463658332824707,214,151,3.0056205,-0.005034828,19328,352.95277640035255,77312,0.11143692
0.0009373473,0.01953125,3499.5238095238096,11389.52380952381,0.017247378826141357,197,152,2.918333,-0.0046729073,19456,355.5500770349304,77824,0.1324676
0.0013068018,0.095703125,3499.5238095238096,11389.52380952381,0.1672787070274353,214,153,2.9027128,-0.00444761,19584,357.9336291344291,78336,0.0033562745
0.0014255878,0.084472656,3384.7272727272725,10899.09090909091,0.010400533676147461,224,154,3.0146413,-0.005018597,19712,360.21907574845403,78848,0.021955842
0.0013160612,0.08251953,3304.782608695652,11086.521739130434,0.015279412269592285,214,155,2.996155,-0.006769136,19840,362.60149900336495,79360,0.3010757
0.0009473525,0.05419922,3304.782608695652,11086.521739130434,-0.008730411529541016,213,156,3.121972,-0.0027461345,19968,364.9976148504908,79872,7.0412745
0.0013026178,0.1015625,3304.782608695652,11086.521739130434,0.046372294425964355,203,157,3.2384298,-0.003098017,20096,367.5168457862661,80384,0.010971561
0.0020759027,0.079589844,3304.782608695652,11086.521739130434,-0.029876232147216797,216,158,3.1031613,-0.004810941,20224,369.88780557305466,80896,0.016318986
0.00097434944,0.05810547,3304.782608695652,11086.521739130434,0.0204889178276062,213,159,3.0804842,-0.004659691,20352,372.2901450463676,81408,0.004132197
0.0009468625,0.037109375,3304.782608695652,11086.521739130434,0.1801598072052002,210,160,3.0555296,-0.004789463,20480,374.723059075944,81920,0.001689552
0.0009461112,0.04345703,3304.782608695652,11086.521739130434,0.031841158866882324,208,161,3.067557,-0.0050300625,20608,377.18179482308506,82432,0.058981128
0.00091166573,0.052246094,3304.782608695652,11086.521739130434,0.03372865915298462,211,162,3.0079362,-0.004114995,20736,379.6060650166432,82944,0.034579042
0.00067348324,0.048828125,3304.782608695652,11086.521739130434,0.015234112739562988,161,163,2.9778903,-0.0032995467,20864,382.7845050837467,83456,0.016434595
0.0011895043,0.06591797,3259.7083333333335,11576.666666666666,-0.27044832706451416,203,164,2.8925846,-0.0037173943,20992,385.29749681872977,83968,0.002905193
0.00086802396,0.046875,3259.7083333333335,11576.666666666666,-0.1674419641494751,218,165,2.9402225,-0.0031364337,21120,387.6459325836105,84480,0.0009740762
0.00035136304,0.0024414062,3259.7083333333335,11576.666666666666,-0.004992365837097168,214,166,2.9362187,-0.0010203752,21248,390.03278161051196,84992,5.089892
0.0013254327,0.07519531,3259.7083333333335,11576.666666666666,0.1383553147315979,213,167,2.9698663,-0.0062673786,21376,392.43667575068895,85504,0.002922952
0.0007865487,0.014160156,3259.7083333333335,11576.666666666666,-0.3500615358352661,211,168,2.9467583,-0.003042391,21504,394.8602660393989,86016,0.00049993413
0.00084246526,0.028320312,3259.7083333333335,11576.666666666666,0.39280766248703003,212,169,2.9808092,-0.0038859732,21632,397.27562022547556,86528,0.00043331628
0.00082145934,0.029785156,3259.7083333333335,11576.666666666666,-0.2833017110824585,214,170,3.0064044,-0.005100159,21760,399.66592220519647,87040,0.00037984241
0.0007381792,0.017089844,3259.7083333333335,11576.666666666666,-0.05650150775909424,214,171,3.0277808,-0.0044944566,21888,402.05763895970017,87552,0.00018333377
0.00052970514,0.017578125,3259.7083333333335,11576.666666666666,-0.009288549423217773,213,172,3.0742538,-0.0026962631,22016,404.46211746185617,88064,0.00010098571
0.00025864458,0.0053710938,3224.84,11690.4,0.023449361324310303,213,173,3.1378233,-0.001821942,22144,406.86650922114404,88576,0.08006925
0.0008120613,0.040527344,3195.1153846153848,11876.538461538461,-0.004015326499938965,212,174,3.1698415,-0.003443262,22272,409.2800166641291,89088,0.022379342
0.00016647705,0.001953125,3195.1153846153848,11876.538461538461,0.015743494033813477,212,175,3.2737582,-0.0015111915,22400,411.693693961104,89600,0.1821102
0.00024794156,0.0009765625,3195.1153846153848,11876.538461538461,-0.010734319686889648,211,176,3.292225,-0.0030723845,22528,414.12110407887036,90112,0.008228828
0.0002276156,0.0009765625,3195.1153846153848,11876.538461538461,0.03759109973907471,210,177,3.3123124,-0.002886529,22656,416.5512665715894,90624,0.06408108
0.0001742226,0.0,3195.1153846153848,11876.538461538461,0.22875767946243286,210,178,3.3033092,-0.0019204909,22784,418.988722309679,91136,0.00046043913
0.00019932954,0.00048828125,3195.1153846153848,11876.538461538461,0.027071118354797363,208,179,3.3066778,-0.002317288,22912,421.4475772758828,91648,0.047039352
0.00033421814,0.009277344,3195.1153846153848,11876.538461538461,-0.4595761299133301,203,180,3.3250537,-0.0032999879,23040,423.9649986241268,92160,0.00050440547
0.00011535392,0.001953125,3195.1153846153848,11876.538461538461,-0.035489678382873535,211,181,3.2735434,-0.0020367794,23168,426.38551931879607,92672,0.00050198834
0.00026386455,0.0073242188,3195.1153846153848,11876.538461538461,0.17585325241088867,210,182,3.330911,-0.0024246753,23296,428.82306473308756,93184,0.00019892855
0.000106838794,0.0029296875,3195.1153846153848,11876.538461538461,0.045447587966918945,208,183,3.304274,-0.0014040226,23424,431.27712348915856,93696,0.014633797
4.9065973e-05,0.0,3195.1153846153848,11876.538461538461,0.006693720817565918,213,184,3.3837557,-0.00083464826,23552,433.6728313235341,94208,0.00811093
0.00012427452,0.00048828125,3174.8518518518517,11481.111111111111,-0.09203600883483887,215,185,3.4118202,-0.0024235053,23680,436.05293773370636,94720,0.0006463434
0.0001675098,0.00048828125,3174.8518518518517,11481.111111111111,0.3408201336860657,215,186,3.4615338,-0.0020839921,23808,438.427423806657,95232,0.00012799265
0.00017549959,0.0014648438,3174.8518518518517,11481.111111111111,-0.00970923900604248,210,187,3.4600437,-0.0016249333,23936,440.85778010892443,95744,0.007908828
2.2479802e-05,0.0,3174.8518518518517,11481.111111111111,0.010258972644805908,216,188,3.4986029,-0.0007740738,24064,443.22657781924795,96256,0.015037339
2.3904846e-05,0.0,3174.8518518518517,11481.111111111111,0.016234517097473145,215,189,3.4916527,-0.00091926055,24192,445.59937352373,96768,0.018647969
1.936668e-05,0.0,3174.8518518518517,11481.111111111111,0.04686373472213745,209,190,3.5381665,-0.0011973467,24320,448.03876016365206,97280,0.021839008
5.0199116e-05,0.0,3294.5,11336.07142857143,0.0252419114112854,213,191,3.5135002,-0.0014502048,24448,450.44076684327194,97792,0.011160027
4.2623087e-05,0.0,3265.862068965517,11187.931034482759,0.013189077377319336,213,192,3.5545676,-0.0004263632,24576,452.8452368946333,98304,0.25061655
7.153455e-06,0.0,3265.862068965517,11187.931034482759,0.02088373899459839,210,193,3.591052,-0.00038000307,24704,455.2793297053117,98816,0.053457547
1.2954074e-06,0.0,3265.862068965517,11187.931034482759,0.0043038129806518555,213,194,3.6301491,-0.00028585905,24832,457.68057930547036,99328,0.008802738
2.0765794e-06,0.0,3265.862068965517,11187.931034482759,0.020675957202911377,209,195,3.5719652,-0.00028443942,24960,460.12559626991697,99840,0.029690783
